disk_type,value
hd,108071
hd,108066
hd,108060
hd,108119
hd,108122
hd,108068
hd,108064
hd,108112
hd,108107
hd,108110
hd,108061
hd,108112
hd,108117
hd,108112
hd,108118
hd,108056
hd,108117
hd,108054
hd,108110
hd,108100
hd,108096
hd,108103
hd,108110
hd,108111
hd,108109
hd,108104
hd,108100
hd,108104
hd,108122
hd,108114
hd,108114
hd,108111
hd,108106
hd,108115
hd,108114
hd,108099
hd,108103
hd,108112
hd,108108
hd,108105
hd,108101
hd,108098
hd,108100
hd,108101
hd,108101
hd,108097
hd,108099
hd,108091
hd,108084
hd,108095
hd,108056
hd,108094
hd,108085
hd,108082
hd,108084
hd,108084
hd,108076
hd,108075
hd,108071
hd,108080
hd,108076
hd,108056
hd,108078
hd,108075
hd,108080
hd,108067
hd,108079
hd,108069
hd,108116
hd,108066
hd,108073
hd,108112
hd,108112
hd,108068
hd,108109
hd,108118
hd,108064
hd,108120
hd,108118
hd,108102
hd,108056
hd,108114
hd,108108
hd,108109
hd,108094
hd,108110
hd,108104
hd,108096
hd,108099
hd,108118
hd,108115
hd,108097
hd,108114
hd,108111
hd,108108
hd,108093
hd,108112
hd,108112
hd,108119
hd,108101
hd,108113
hd,108116
hd,108098
hd,108113
hd,108108
hd,108092
hd,108105
hd,108113
hd,108117
hd,108117
hd,108092
hd,108114
hd,108110
hd,108103
hd,108111
hd,108089
hd,108095
hd,108120
hd,108114
hd,108097
hd,108098
hd,108106
hd,108113
hd,108106
hd,108106
hd,108107
hd,108100
hd,108088
hd,108103
hd,108096
hd,108091
hd,108095
hd,108087
hd,108061
hd,108091
hd,108093
hd,108088
hd,108090
hd,108088
hd,108090
hd,108080
hd,108084
hd,108091
hd,108080
hd,108075
hd,108074
hd,108079
hd,108069
hd,108086
hd,108076
hd,108077
hd,108069
hd,108084
hd,108064
hd,108121
hd,108069
hd,108073
hd,108110
hd,108064
hd,108066
hd,108066
hd,108108
hd,108111
hd,108108
hd,108117
hd,108108
hd,108106
hd,108113
hd,108119
hd,108101
hd,108103
hd,108114
hd,108104
hd,108104
hd,108099
hd,108098
hd,108103
hd,108099
hd,108106
hd,108124
hd,108104
hd,108112
hd,108119
hd,108100
hd,108102
hd,108094
hd,108106
hd,108107
hd,108102
hd,108104
hd,108112
hd,108101
hd,108105
hd,108102
hd,108068
hd,108095
hd,108091
hd,108064
hd,108081
hd,108084
hd,108074
hd,108085
hd,108080
hd,108081
hd,108076
hd,108077
hd,108070
hd,108073
hd,108077
hd,108082
hd,108071
hd,108080
hd,108069
hd,108062
hd,108070
hd,108075
hd,108060
hd,108073
hd,108065
hd,108112
hd,108063
hd,108060
hd,108108
hd,108103
hd,108107
hd,108111
hd,108101
hd,108112
hd,108110
hd,108105
hd,108056
hd,108104
hd,108106
hd,108105
hd,108129
hd,108041
hd,108095
hd,108113
hd,108099
hd,108110
hd,108101
hd,108107
hd,108106
hd,108107
hd,108102
hd,108130
hd,108103
hd,108105
hd,108136
hd,108093
hd,108105
hd,108108
hd,108098
hd,108111
hd,108109
hd,108110
hd,108115
hd,108115
hd,108106
hd,108110
hd,108127
hd,108102
hd,108108
hd,108104
hd,108106
hd,108105
hd,108098
hd,108098
hd,108099
hd,108096
hd,108094
hd,108092
hd,108089
hd,108085
hd,108087
hd,108091
hd,108084
hd,108088
hd,108083
hd,108079
hd,108115
hd,108075
hd,108078
hd,108074
hd,108072
hd,108076
hd,108068
hd,108073
hd,108082
hd,108062
hd,108079
hd,108105
hd,108105
hd,108106
hd,108109
hd,108102
hd,108057
hd,108094
hd,108104
hd,108114
hd,108094
hd,108120
hd,108120
hd,108105
hd,108116
hd,108106
hd,108107
hd,108109
hd,108098
hd,108101
hd,108095
hd,108103
hd,108121
hd,108104
hd,108106
hd,108113
hd,108110
hd,108111
hd,108100
hd,108094
hd,108104
hd,108101
hd,108100
hd,108100
hd,108104
hd,108091
hd,108093
hd,108093
hd,108094
hd,108093
hd,108088
hd,108092
hd,108076
hd,108090
hd,108090
hd,108089
hd,108086
hd,108082
hd,108082
hd,108079
hd,108070
hd,108075
hd,108076
hd,108075
hd,108115
hd,108079
hd,108074
hd,108075
hd,108066
hd,108066
hd,108114
hd,108077
hd,108066
hd,108073
hd,108062
hd,108067
hd,108113
hd,108110
hd,108065
hd,108111
hd,108059
hd,108117
hd,108110
hd,108115
hd,108101
hd,108108
hd,108110
hd,108108
hd,108112
hd,108112
hd,108106
hd,108122
hd,108105
hd,108109
hd,108104
hd,108112
hd,108106
hd,108100
hd,108106
hd,108128
hd,108089
hd,108118
hd,108104
hd,108095
hd,108103
hd,108109
hd,108108
hd,108109
pd,109201
pd,108608
pd,109416
pd,106982
pd,107271
pd,107292
pd,107983
pd,108279
pd,108117
pd,107837
pd,108130
pd,106899
pd,107205
pd,107350
pd,108021
pd,108555
pd,106653
pd,106594
pd,105908
pd,108579
pd,109797
pd,109169
pd,106951
pd,106682
pd,108137
pd,107347
pd,108210
pd,108287
pd,108376
pd,109101
pd,107413
pd,107744
pd,110020
pd,107128
pd,108079
pd,107413
pd,109205
pd,110124
pd,108777
pd,108231
pd,108936
pd,106996
